Downloaded from wid.world on 25-11-2023 at 23:12:08
Country Code;Country Name;WID Variable code;Percentile group;Unit;Variable name;Intuitive description;Technical description;Methodological Notes;Sources;Extrapolations;Data points
AF;Afghanistan;shweal992j;p0p50;share;Net personal wealth. Share Adults. equal-split adults;Net personal wealth share held by the p0p50 group. Net personal wealth is  the total value of non-financial and financial assets (housing, land, deposits, bonds, equities, etc.) held by households, minus their debts. . The personal or household sector - in the national accounts sense - includes all households and private individuals (including those living in institutions), as well as unincorporated enterprises whose accounts are not separated from those of the households who own them. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;[Net personal wealth]=[Personal non-financial assets]+[Personal financial assets]-[Personal debt];;[URL][URL_LINK]http://wordpress.wid.world/document/global-wealth-inequality-on-wid-world-estimates-and-imputations-world-inequality-lab-technical-note-2021-16/[/URL_LINK][URL_TEXT]Bajard, F., Chancel, L., Moshrif, R., Piketty, T. (2021). “Global Wealth Inequality on WID.world: Estimates and Imputations”[/URL_TEXT][/URL];;
AF;Afghanistan;sptinc992j;p90p100;share;Pre-tax national income. Share Adults. equal-split adults;Pre-tax national income share held by the p90p100 group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];;"[URL][URL_LINK]https://wid.world/document/dina-update-for-asia-world-inequality-lab-technical-note-2020-08/[/URL_LINK][URL_TEXT]Updated by Jenmana, Moshrif and Yang (2020), ""Regional DINA Update for Asia""; [/URL_TEXT][/URL][URL][URL_LINK]http://wordpress.wid.world/document/2021-dina-regional-update-for-asia-world-inequality-lab-technical-note-2021-6/[/URL_LINK][URL_TEXT]Updated by Bajard, F. and Moshrif, R. (2021), ""2021 Regional DINA Update for Asia""[/URL_TEXT][/URL]";[[1980, 2021]];[2008, 2012, 2017]
AF;Afghanistan;sptinc992t;p90p100;share;Pre-tax national income. Share Adults. tax unit;Pre-tax national income share held by the p90p100 group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];;"[URL][URL_LINK]https://wid.world/document/dina-update-for-asia-world-inequality-lab-technical-note-2020-08/[/URL_LINK][URL_TEXT]Updated by Jenmana, Moshrif and Yang (2020), ""Regional DINA Update for Asia""; [/URL_TEXT][/URL][URL][URL_LINK]http://wordpress.wid.world/document/2021-dina-regional-update-for-asia-world-inequality-lab-technical-note-2021-6/[/URL_LINK][URL_TEXT]Updated by Bajard, F. and Moshrif, R. (2021), ""2021 Regional DINA Update for Asia""[/URL_TEXT][/URL]";[[1980, 2021]];[2008, 2012, 2017]
AF;Afghanistan;shweal992j;p90p100;share;Net personal wealth. Share Adults. equal-split adults;Net personal wealth share held by the p90p100 group. Net personal wealth is  the total value of non-financial and financial assets (housing, land, deposits, bonds, equities, etc.) held by households, minus their debts. . The personal or household sector - in the national accounts sense - includes all households and private individuals (including those living in institutions), as well as unincorporated enterprises whose accounts are not separated from those of the households who own them. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;[Net personal wealth]=[Personal non-financial assets]+[Personal financial assets]-[Personal debt];;[URL][URL_LINK]http://wordpress.wid.world/document/global-wealth-inequality-on-wid-world-estimates-and-imputations-world-inequality-lab-technical-note-2021-16/[/URL_LINK][URL_TEXT]Bajard, F., Chancel, L., Moshrif, R., Piketty, T. (2021). “Global Wealth Inequality on WID.world: Estimates and Imputations”[/URL_TEXT][/URL];;
AF;Afghanistan;sptinc992j;p0p50;share;Pre-tax national income. Share Adults. equal-split adults;Pre-tax national income share held by the p0p50 group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];;"[URL][URL_LINK]https://wid.world/document/dina-update-for-asia-world-inequality-lab-technical-note-2020-08/[/URL_LINK][URL_TEXT]Updated by Jenmana, Moshrif and Yang (2020), ""Regional DINA Update for Asia""; [/URL_TEXT][/URL][URL][URL_LINK]http://wordpress.wid.world/document/2021-dina-regional-update-for-asia-world-inequality-lab-technical-note-2021-6/[/URL_LINK][URL_TEXT]Updated by Bajard, F. and Moshrif, R. (2021), ""2021 Regional DINA Update for Asia""[/URL_TEXT][/URL]";[[1980, 2021]];[2008, 2012, 2017]
QB;Africa;sptinc992j;p0p50;share;Pre-tax national income. Share Adults. equal-split adults;Pre-tax national income share held by the p0p50 group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];WID.world aggregations of individual country data;[URL][URL_LINK]http://wordpress.wid.world/document/update-of-global-income-inequality-estimates-on-wid-world-world-inequality-lab-technical-note-2020-11/[/URL_LINK][URL_TEXT]Chancel, L., Moshrif, R. (2020) “Update of global income inequality estimates on WID.world”[/URL_TEXT][/URL];;
QB;Africa;shweal992j;p0p50;share;Net personal wealth. Share Adults. equal-split adults;Net personal wealth share held by the p0p50 group. Net personal wealth is  the total value of non-financial and financial assets (housing, land, deposits, bonds, equities, etc.) held by households, minus their debts. . The personal or household sector - in the national accounts sense - includes all households and private individuals (including those living in institutions), as well as unincorporated enterprises whose accounts are not separated from those of the households who own them. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;[Net personal wealth]=[Personal non-financial assets]+[Personal financial assets]-[Personal debt];WID.world aggregations of individual country data;[URL][URL_LINK]http://wordpress.wid.world/document/global-wealth-inequality-on-wid-world-estimates-and-imputations-world-inequality-lab-technical-note-2021-16/[/URL_LINK][URL_TEXT]Bajard, F., Chancel, L., Moshrif, R., Piketty, T. (2021). “Global Wealth Inequality on WID.world: Estimates and Imputations”[/URL_TEXT][/URL];;
QB;Africa;shweal992j;p90p100;share;Net personal wealth. Share Adults. equal-split adults;Net personal wealth share held by the p90p100 group. Net personal wealth is  the total value of non-financial and financial assets (housing, land, deposits, bonds, equities, etc.) held by households, minus their debts. . The personal or household sector - in the national accounts sense - includes all households and private individuals (including those living in institutions), as well as unincorporated enterprises whose accounts are not separated from those of the households who own them. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;[Net personal wealth]=[Personal non-financial assets]+[Personal financial assets]-[Personal debt];WID.world aggregations of individual country data;[URL][URL_LINK]http://wordpress.wid.world/document/global-wealth-inequality-on-wid-world-estimates-and-imputations-world-inequality-lab-technical-note-2021-16/[/URL_LINK][URL_TEXT]Bajard, F., Chancel, L., Moshrif, R., Piketty, T. (2021). “Global Wealth Inequality on WID.world: Estimates and Imputations”[/URL_TEXT][/URL];;
QB;Africa;sptinc992j;p90p100;share;Pre-tax national income. Share Adults. equal-split adults;Pre-tax national income share held by the p90p100 group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];WID.world aggregations of individual country data;[URL][URL_LINK]http://wordpress.wid.world/document/update-of-global-income-inequality-estimates-on-wid-world-world-inequality-lab-technical-note-2020-11/[/URL_LINK][URL_TEXT]Chancel, L., Moshrif, R. (2020) “Update of global income inequality estimates on WID.world”[/URL_TEXT][/URL];;
QB;Africa;sptinc992t;p90p100;share;Pre-tax national income. Share Adults. tax unit;Pre-tax national income share held by the p90p100 group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];WID.world aggregations of individual country data;[URL][URL_LINK]http://wordpress.wid.world/document/update-of-global-income-inequality-estimates-on-wid-world-world-inequality-lab-technical-note-2020-11/[/URL_LINK][URL_TEXT]Chancel, L., Moshrif, R. (2020) “Update of global income inequality estimates on WID.world”[/URL_TEXT][/URL];;
